person_id,primary_citizenship,sex,is_first_generation_hed_student
543809,US,Male,false
541801,US,Male,false
401379,US,Male,false
593139,US,Male,false
472157,US,Male,false
596978,"",Male,false
187677,US,Male,false
470988,US,Male,false
257796,US,Male,false
329914,"",Male,false
400734,US,Male,false
470697,US,Male,false
45912,US,Male,false
587232,US,Male,false
541991,US,Male,false
402970,US,Male,false
189174,US,Male,false
545118,US,Male,false
48721,US,Male,false
403971,CN,Male,false
331224,CN,Male,false
118917,US,Male,false
48860,US,Male,false
584507,US,Male,false
570177,US,Male,false
51047,CN,Male,false
604183,US,Male,false
404833,US,Male,false
120289,US,Male,false
192502,"",Male,false
335185,US,Male,false
192798,US,Male,false
548145,US,Male,false
121277,US,Male,false
546682,US,Male,false
50602,US,Male,false
547042,US,Male,false
407705,CN,Male,false
477898,US,Male,false
195295,US,Male,false
266238,US,Male,false
548637,LK,Male,false
124633,US,Male,false
549905,US,Male,false
337224,US,Male,false
265989,US,Male,false
265035,US,Male,false
407991,US,Male,false
548424,US,Male,false
407266,US,Male,false
193436,US,Male,false
548754,US,Male,false
549140,US,Male,false
124417,KR,Male,false
123524,US,Male,false
576057,US,Male,false
406504,US,Male,false
408216,US,Male,false
407461,US,Male,false
548598,US,Male,false
124499,US,Male,false
336947,US,Male,false
125321,US,Male,false
126357,CN,Male,false
267906,US,Male,false
267780,US,Male,false
54239,US,Male,false
409726,US,Male,false
551055,US,Male,false
595937,US,Male,false
409320,US,Male,false
339507,CN,Male,false
126700,US,Male,false
552345,US,Male,false
410601,US,Male,false
126268,CN,Male,false
479556,US,Male,false
196364,US,Male,false
195615,US,Male,false
267335,US,Male,false
479766,US,Male,false
479927,US,Male,false
410721,US,Male,false
551024,US,Male,false
269367,"",Male,false
127347,US,Male,false
127039,US,Male,false
553174,US,Male,false
340239,US,Male,false
412501,CN,Male,false
56935,US,Male,false
129014,US,Male,false
341185,IN,Male,false
412496,US,Male,false
199154,US,Male,false
483593,"",Male,false
127672,US,Male,false
269156,US,Male,false
271113,US,Male,false
128818,US,Male,false
412707,US,Male,false
587767,US,Male,false
593241,US,Male,false
414064,US,Male,false
414391,US,Male,false
129598,US,Male,false
272227,US,Male,false
484776,US,Male,false
131284,US,Male,false
343873,US,Male,false
485570,US,Male,false
271501,US,Male,false
485513,US,Male,false
487246,US,Male,false
275326,US,Male,false
61418,US,Male,false
487869,US,Male,false
60144,US,Male,false
416090,US,Male,false
61443,US,Male,false
487480,US,Male,false
132783,US,Male,false
131558,US,Male,false
203028,US,Male,false
582129,US,Male,false
487575,US,Male,false
345872,IN,Male,false
488099,IN,Male,false
344791,US,Male,false
487866,US,Male,false
203373,US,Male,false
559067,US,Male,false
488250,US,Male,false
202704,"",Male,false
61374,US,Male,false
557500,US,Male,false
206372,US,Male,false
347373,US,Male,false
62873,US,Male,false
63013,US,Male,false
135056,IR,Male,false
134512,US,Male,false
64248,US,Male,false
590847,US,Male,false
585087,US,Male,false
347198,US,Male,false
560134,US,Male,false
561864,US,Male,false
563519,US,Male,false
348932,US,Male,false
66382,US,Male,false
136649,US,Male,false
420206,US,Male,false
420344,US,Male,false
207432,CN,Male,false
349098,US,Male,false
562979,US,Male,false
348502,US,Male,false
348456,US,Male,false
65432,US,Male,false
579489,US,Male,false
562214,US,Male,false
604786,US,Male,false
490674,US,Male,false
492129,US,Male,false
280426,US,Male,false
352206,US,Male,false
422916,US,Male,false
138562,US,Male,false
591064,US,Male,false
209894,KR,Male,false
493330,US,Male,false
352887,US,Male,false
280228,US,Male,false
66881,US,Male,false
423596,US,Male,false
424374,"",Male,false
209059,US,Male,false
208697,"",Male,false
494046,US,Male,false
494485,US,Male,false
567602,CN,Male,false
566018,US,Male,false
571099,US,Male,false
284093,US,Male,false
425878,"",Male,false
212452,US,Male,false
354765,US,Male,false
140501,US,Male,false
69314,US,Male,false
425406,US,Male,false
567410,US,Male,false
70785,US,Male,false
585374,US,Male,false
495356,US,Male,false
566486,"",Male,false
1973,US,Male,false
1923,US,Male,false
427312,CN,Male,false
284683,US,Male,false
284921,US,Male,false
497938,US,Male,false
286538,US,Male,false
574088,US,Male,false
75118,US,Male,false
75092,US,Male,false
359000,US,Male,false
3879,US,Male,false
358947,US,Male,false
430465,LK,Male,false
288009,US,Male,false
568431,US,Male,false
358971,US,Male,false
