,course_subject,male_percentage,total
190,RSTH,20.2020202020202,198
191,RUSS,49.544626593806925,1647
192,SCLP,37.573964497041416,338
193,SIED,42.28855721393035,201
194,SJUS,18.34862385321101,436
195,SLA,6.25,48
196,SLIS,26.203208556149733,935
197,SOAS,75.0,20
198,SOC,35.39175183010799,13797
199,SPAN,34.970178926441356,10060
200,SPST,69.86177884615384,3328
201,SRM,66.19995087202162,12213
202,SSW,11.401332114405118,7657
203,STAT,55.52762475263411,18697
204,SURG,51.298701298701296,616
205,SWAH,73.32695984703633,1046
206,TAPE,52.450980392156865,408
207,TBM,47.82608695652174,92
208,TDSN,58.514492753623195,552
209,THTR,41.23048668503214,6534
210,TOX,51.76470588235295,255
211,TR,6.530363137015563,3277
212,TRNS,27.364185110663986,497
213,UICB,20.291616038882136,823
214,ULIB,48.07692307692308,104
215,URES,31.756214915797916,1247
216,URO,55.757575757575765,330
217,URP,52.495840266222956,1202
218,WLLC,22.110552763819097,199
219,WRIT,35.19843851659076,1537
